Date,JSE.ABSP.Close,JSE.BVT.Close,JSE.FSR.Close,JSE.NBKP.Close,JSE.RMH.Close,JSE.SBK.Close,JSE.SLM.Close
2006/05/18,99700,9941,1861,1230,2636,7900,1535
2006/05/19,99699,9985,1819,1230,2600,7790,1550
2006/05/22,99600,9980,1712,1230,2535,7400,1540
2006/05/23,99400,10250,1780,1225,2650,7800,1570
2006/05/24,99298,10050,1735,1225,2600,7630,1550
2006/05/25,99300,10098,1780,1220,2645,7684,1551
2006/05/26,99390,10200,1825,1220,2695,7830,1610
2006/05/29,99390,10346,1850,1230,2735,7990,1625
2006/05/30,99230,10059,1786,1215,2615,7849,1570
2006/05/31,99000,9902,1771,1215,2660,7803,1531
2006/06/01,98900,10099,1810,1215,2650,8035,1536
2006/06/02,98900,10535,1875,1215,2769,8200,1581
2006/06/05,99180,10441,1870,1215,2750,8151,1547
2006/06/06,99300,9901,1780,1200,2600,7860,1480
2006/06/07,99800,9723,1720,1220,2570,7570,1470
2006/06/08,99300,9010,1620,1210,2360,7050,1400
2006/06/09,99300,9604,1780,1205,2584,7670,1467
2006/06/12,99105,9560,1723,1210,2502,7617,1450
2006/06/13,99150,9060,1725,1170,2539,7450,1390
2006/06/14,99023,9700,1755,1140,2602,7690,1450
2006/06/15,99000,9990,1820,1139,2710,7899,1480
2006/06/19,98879,9911,1820,1150,2650,7999,1467
2006/06/20,98587,10050,1815,1160,2689,7950,1486
2006/06/21,98632,10149,1765,1180,2613,7855,1541
2006/06/22,98700,10000,1736,1200,2615,7605,1481
2006/06/23,98700,9603,1645,1219,2471,7301,1450
2006/06/26,98750,9179,1540,1210,2282,6890,1380
2006/06/27,99200,9475,1552,1215,2360,7025,1405
2006/06/28,99400,9505,1586,1220,2400,7240,1420
2006/06/29,99490,9629,1651,1215,2430,7500,1430
2006/06/30,99300,9777,1690,1220,2470,7700,1450
2006/07/03,99500,10098,1769,1230,2600,7970,1439
2006/07/04,99500,10075,1760,1229,2600,7980,1449
2006/07/05,99500,9900,1700,1220,2533,7606,1410
2006/07/06,99500,10130,1700,1230,2524,7530,1449
2006/07/07,99400,9950,1719,1230,2532,7679,1469
2006/07/10,99500,10099,1755,1230,2580,7815,1489
2006/07/11,99400,9920,1711,1230,2520,7685,1499
2006/07/12,99350,10197,1750,1221,2545,7725,1538
2006/07/13,99400,9728,1685,1210,2470,7480,1470
2006/07/14,99500,9411,1660,1220,2425,7301,1440
2006/07/17,99400,9376,1591,1208,2399,7000,1425
2006/07/18,99285,9604,1600,1203,2365,7211,1430
2006/07/19,98800,9901,1656,1210,2500,7400,1474
2006/07/20,99000,9554,1656,1210,2445,7470,1440
2006/07/21,98900,9337,1655,1210,2430,7310,1430
2006/07/24,99000,9910,1665,1225,2448,7358,1480
2006/07/25,98500,9928,1670,1215,2450,7259,1512
2006/07/26,98500,10038,1670,1215,2453,7350,1515
2006/07/27,98000,10069,1715,1215,2565,7500,1564
2006/07/28,98498,9850,1695,1215,2490,7570,1510
2006/07/31,98450,9896,1727,1215,2545,7640,1536
2006/08/01,98403,9713,1661,1215,2433,7541,1510
2006/08/02,98288,9713,1649,1220,2430,7379,1513
2006/08/03,98300,9752,1650,1215,2406,7380,1506
2006/08/04,98399,10079,1670,1230,2455,7470,1540
2006/08/07,98600,9955,1620,1230,2396,7350,1528
2006/08/08,98550,9861,1630,1229,2445,7440,1495
2006/08/10,98500,9948,1632,1215,2399,7469,1473
2006/08/11,98200,10089,1641,1225,2406,7560,1501
2006/08/14,98500,10078,1620,1229,2434,7375,1482
2006/08/15,98500,9989,1620,1230,2443,7400,1490
2006/08/16,98550,10050,1624,1240,2450,7450,1500
2006/08/17,98500,10496,1689,1245,2556,7689,1549
2006/08/18,98400,10173,1704,1240,2530,7555,1495
2006/08/21,98400,10395,1711,1215,2545,7644,1520
2006/08/22,98400,10490,1730,1230,2610,7774,1530
2006/08/23,98400,10401,1720,1220,2630,7680,1501
2006/08/24,98350,10396,1720,1215,2633,7520,1502
2006/08/25,98399,10401,1730,1216,2601,7579,1486
